S_DIA1,S_DIA2,S_DIA3,S_DIA4,M_DIA1,M_DIA2,M_DIA3,M_DIA4,L_DIA1,L_DIA2,L_DIA3,L_DIA4
0.484410436509364,0.491611555700673,0.343948955142731,0.430180258969394,0.499070508888363,0.321281954640725,0.366538291850116,0.470124733343859,0.439214099098783,0.298907695755266,0.549282387220246,0.120513278166418
0.321778065500256,0.461882989831382,0.335269491619443,0.448989966553109,0.451471177856605,0.462951295379167,0.414294446289874,0.255721820206624,0.102601990782404,0.424463150816479,0.448716695726556,0.479900057552039
0.42230776936341,0.481154539042562,0.357984131038747,0.47268659026807,0.114880581783863,0.470361452857443,0.451867280122988,0.105782089248505,0.105998563118086,0.131693000901863,0.110013186657119,0.484017341497349
0.104157836643564,0.501457954617259,0.395925364933939,0.444401262123714,0.506499501327908,0.488315117378994,0.460087499149315,0.097494302180712,0.438541030517234,0.0942617867917165,0.544546076855669,0.499508182718589
0.392111081107516,0.47529544847332,0.379911119259588,0.437324842093114,0.550760191543443,0.105629666202826,0.48257651646204,0.105353672552405,0.470527605768844,0.106187896165613,0.561356075402527,0.515397049426977
0.487092072309837,0.519241043433244,0.413835382155135,0.467495004808579,0.304113018611285,0.422081140328318,0.49913647079866,0.438623401679226,0.520949553403331,0.387754491009343,0.560119662407503,0.51482245749267
0.497786469951798,0.504156248729042,0.489017299064814,0.436490702166364,0.570076993608,0.0988536145511461,0.451934838231536,0.428512352421144,0.565956913317516,0.441167135720646,0.520904490325467,0.522098125379766
0.480617720165613,0.432351747277376,0.421179790333161,0.472730946369723,0.565614113167632,0.370035263408303,0.489185297832093,0.44342668892642,0.583792934597478,0.294113596871375,0.548707996477973,0.302389941612086
0.491277522334544,0.476790253780498,0.457960002530514,0.460278509409223,0.114048552043562,0.236465309680992,0.376628250390237,0.392192246645688,0.585338887360514,0.0959137192106143,0.559395182061442,0.053071952082633
0.507025452568593,0.494838451768073,0.438329451865972,0.477574560893233,0.405115850168687,0.104651257841671,0.386907756310735,0.476381724772488,0.573866355292023,0.114965633267546,0.532294217228529,0.253806430292564
0.439528732425714,0.30639860834411,0.478629842085951,0.103035163268814,0.272882195684178,0.493679804729924,0.428558567288145,0.43158999790278,0.593682800826344,0.115337991630671,0.543050501349489,0.0348028778915592
0.496308064406647,0.465897550512864,0.489080216605268,0.416627893201001,0.340984132591821,0.512119979776071,0.416581064708651,0.467790022876586,0.522060056589752,0.359809359800905,0.550052661263344,0.0807263698718675
